51583	καβάδης	A	I	1	a	military garment named after the Persian king	urn:cts:greekLit:tlg9022.tlg001:12:792
51584	καβαθα	A	I	1	a	gabata, dish,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51584	καβαθα	A	I	1	a	gabata, dish,	Perseus:abo:pap,UPZ:149:40
51584	καβαθα	A	I	1	a	gabata, dish,	Perseus:abo:pap,UPZ:372
51584	καβαθα	A	I	1	a	gabata, dish,	http://www.trismegistos.org/text/3404
51584	καβαθα	A	I	1	a	gabata, dish,	http://www.trismegistos.org/text/3402
51586	κάβαισος	A	I	1	a	gluttonous fellow	urn:cts:greekLit:tlg0434.tlg001:103
51586	κάβαισος	A	I	1	a	gluttonous fellow	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51588	καβάλλης	A	I	1	a	nag	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51588	καβάλλης	A	I	1	a	nag	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51588	καβάλλης	A	I	1	a	nag	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51588	καβάλλης	A	I	1	a	nag	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51588	καβάλλης	A	I	1	a	nag	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51590	Κάβαρνος	A	I	1	a	priest of Demeter	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51590	Κάβαρνος	A	I	1	a	priest of Demeter	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51590	Κάβαρνος	A	I	1	a	priest of Demeter	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51594	καββαλικός	A	I	1	a	good at throwing	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51594	καββαλικός	A	I	1	a	good at throwing	urn:cts:greekLit:tlg0057.tlg033:45
51594	καββαλικός	A	I	1	a	good at throwing	urn:cts:greekLit:tlg0562.tlg001:7:52
51594	καββαλικός	A	I	1	a	good at throwing	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
51596	Κάβειροι	A	I	1	a	the Cabeiri	urn:cts:greekLit:tlg0033.tlg005:74b
