71881	Ο	A	I	1	a	little	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:13
71882	ὁ1	C	I	1	a	the following	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	C	I	1	a	the following	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	C	I	1	a	the following	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:5
71882	ὁ1	C	I	1	a	the following	urn:cts:greekLit:tlg1446.tlg001.perseus-grc1:
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:86
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:5:35
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0085.tlg001.perseus-grc1:1047
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0085.tlg004.perseus-grc1:197
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1:7
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0085.tlg007.perseus-grc1:174
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0085.tlg001.perseus-grc1:358
71882	ὁ1	A	I	1	a	that,	urn:cts:greekLit:tlg0011.tlg004.perseus-grc1:1082
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:660
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:7:324
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21:252
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:20:181
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:288
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:13:433
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2:105
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:186
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:703
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:409
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:472
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4:20
71882	ὁ1	A	I	1	a	he	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:329
71882	ὁ1	A	II	1	a	he, she, it,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:12
71882	ὁ1	A	III	1	a	above those to wit	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17:172
71882	ὁ1	A	III	1	a	above those to wit	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:2:119
71882	ὁ1	A	III	1	a	above those to wit	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:332
71882	ὁ1	A	III	1	a	above those to wit	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:21:43
71882	ὁ1	A	III	1	a	above those to wit	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:1:116
71882	ὁ1	A	III	1	a	above those to wit	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:10:74
71882	ὁ1	A	IV	1	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:6:407
71882	ὁ1	A	IV	1	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:608
71882	ὁ1	A	IV	1	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:58
71882	ὁ1	A	IV	1	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16:40
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0059.tlg022:359e
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0010.tlg013.perseus-grc1:32
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:34
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:18:595
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:338d
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:28
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:12:73
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0011.tlg002.perseus-grc1:22
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0059.tlg012:255c
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0014.tlg042.perseus-grc1:6
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16:317
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:19
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:116
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0014.tlg018.perseus-grc1:102
71882	ὁ1	A	VI	1	a	the former,	urn:cts:greekLit:tlg0059.tlg023:501a
71882	ὁ1	A	VII	1	a	sas,	urn:cts:greekLit:tlg0321.tlg001.perseus-grc1:
71882	ὁ1	A	VII	1	a	sas,	urn:cts:greekLit:tlg0059.tlg011.perseus-grc1:174a
71882	ὁ1	A	VII	1	a	sas,	urn:cts:greekLit:tlg0032.tlg007.perseus-grc1:1:3:9
71882	ὁ1	A	VII	1	a	sas,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:
71882	ὁ1	A	VII	1	a	sas,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:6:61
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:721b
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0540.tlg001.perseus-grc1:23
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:784d
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0014.tlg021.perseus-grc1:141
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0014.tlg009.perseus-grc1:68
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0014.tlg018.perseus-grc1:243
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0086.tlg038.perseus-grc1:1401a:4
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0086.tlg038.perseus-grc1:1413a:22
71882	ὁ1	A	VII	2	a	such and such,	Thgn. 398
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0033.tlg002.perseus-grc1:5:55
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0033.tlg002.perseus-grc1:7:20
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0033.tlg001.perseus-grc1:2:53
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0627.tlg004.perseus-grc1:46
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0321.tlg001.perseus-grc1:
71882	ὁ1	A	VII	2	a	such and such,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:8
71882	ὁ1	A	VIII	1	a	there, on that spot, here, this way, that way,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:752
71882	ὁ1	A	VIII	1	a	there, on that spot, here, this way, that way,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:858
71882	ὁ1	A	VIII	1	a	there, on that spot, here, this way, that way,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:13:52
71882	ὁ1	A	VIII	1	a	there, on that spot, here, this way, that way,	urn:cts:greekLit:tlg0032.tlg015.perseus-grc1:2:12
71882	ὁ1	A	VIII	1	b	that way, in that direction,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:10:531
71882	ὁ1	A	VIII	1	b	that way, in that direction,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:149
71882	ὁ1	A	VIII	1	b	that way, in that direction,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:12:124
71882	ὁ1	A	VIII	1	b	that way, in that direction,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:46
71882	ὁ1	A	VIII	1	b	that way, in that direction,	urn:cts:greekLit:tlg0020.tlg003.perseus-grc1:210
71882	ὁ1	A	VIII	1	d	in one way . . , in another . . ,	urn:cts:greekLit:tlg0006.tlg016.perseus-grc1:356
71882	ὁ1	A	VIII	1	d	in one way . . , in another . . ,	urn:cts:greekLit:tlg0059.tlg011.perseus-grc1:211a
71882	ὁ1	A	VIII	1	d	in one way . . , in another . . ,	urn:cts:greekLit:tlg1562.tlg001:8:48
71882	ὁ1	A	VIII	1	e	where, by which way,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:12:118
71882	ὁ1	A	VIII	1	e	where, by which way,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:4:229
71882	ὁ1	A	VIII	2	a	therefore, on this account,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	VIII	2	a	therefore, on this account,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:418
71882	ὁ1	A	VIII	2	a	therefore, on this account,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2:254
71882	ὁ1	A	VIII	2	a	therefore, on this account,	urn:cts:greekLit:tlg0085.tlg003.perseus-grc1:239
71882	ὁ1	A	VIII	2	a	therefore, on this account,	urn:cts:greekLit:tlg0011.tlg004.perseus-grc1:510
71882	ὁ1	A	VIII	2	a	therefore, on this account,	urn:cts:greekLit:tlg0059.tlg006.perseus-grc1:179d
71882	ὁ1	A	VIII	2	a	therefore, on this account,	urn:cts:greekLit:tlg0059.tlg007.perseus-grc1:230b
71882	ὁ1	A	VIII	2	b	thus, so,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2:373
71882	ὁ1	A	VIII	2	b	thus, so,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:13:57
71882	ὁ1	A	VIII	2	b	thus, so,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:1:239
71882	ὁ1	A	VIII	2	b	thus, so,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:3:224
71882	ὁ1	A	VIII	2	b	thus, so,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:258
71882	ὁ1	A	VIII	2	b	thus, so,	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:29:11
71882	ὁ1	A	VIII	2	b	thus, so,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	VIII	2	b	thus, so,	urn:cts:greekLit:tlg0082.tlg002:199:2
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3:176
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:8:332
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0011.tlg006.perseus-grc1:142
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0059.tlg002.perseus-grc1:23a
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0059.tlg024:97c
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0059.tlg004.perseus-grc1:109d
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0059.tlg006.perseus-grc1:157b
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:340d
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:967a
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:6
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:37
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:2:89
71882	ὁ1	A	VIII	3	a	wherefore,	urn:cts:greekLit:tlg0577.tlg001:58J
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7:36
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:2:46
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:173
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:534
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0032.tlg006.perseus-grc1:4:1:14
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0062.tlg011:14
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:90
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:107
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7:48
71882	ὁ1	A	VIII	4	a	partly . . , partly . . ,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:3:85
71882	ὁ1	A	VIII	5	a	that	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	VIII	5	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:493
71882	ὁ1	A	VIII	5	a	that	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:601
71882	ὁ1	A	VIII	5	b	before this, aforetime,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:103
71882	ὁ1	A	VIII	5	b	before this, aforetime,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:122
71882	ὁ1	A	VIII	5	b	before this, aforetime,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:5:55
71882	ὁ1	A	VIII	5	b	before this, aforetime,	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1:1204
71882	ὁ1	A	VIII	5	b	before this, aforetime,	urn:cts:greekLit:tlg0019.tlg003.perseus-grc1:5
71882	ὁ1	A	VIII	5	b	before this, aforetime,	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:32
71882	ὁ1	A	VIII	5	b	before this, aforetime,	urn:cts:greekLit:tlg0085.tlg007.perseus-grc1:462
71882	ὁ1	A	VIII	5	b	before this, aforetime,	urn:cts:greekLit:tlg0060.tlg001.perseus-grc3:20:59
71882	ὁ1	A	VIII	5	c	yesterday,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:7:137
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:6
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0486.tlg001:145:4
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0284.tlg001.perseus-grc1:43(1).16
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0284.tlg001.perseus-grc1:37(2).2
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:3:17
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:82
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:8:90
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0059.tlg003.perseus-grc1:52a
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0007.tlg061:6
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0007.tlg061:11
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0525.tlg001.perseus-grc1:1:16:3
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7:71
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0284.tlg001.perseus-grc1:48(24).47
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0081.tlg001:1:19
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0081.tlg001:66
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0081.tlg001:4:14
71882	ὁ1	A	VIII	6	a	most	urn:cts:greekLit:tlg0081.tlg001:15
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
