102123	ταβαίτας	A	I	1	a	wooden bowl	urn:cts:greekLit:tlg0008.tlg001.perseus-grc1:14:500d
102124	ταβάλα	A	I	1	a	drum	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102124	ταβάλα	A	I	1	a	drum	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102126	ταβέλλα	A	I	1	a	writing tablet, note,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102126	ταβέλλα	A	I	1	a	writing tablet, note,	Perseus:abo:pap,P.Oxy.:273:7
102126	ταβέλλα	A	I	1	a	writing tablet, note,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102126	ταβέλλα	A	I	1	a	writing tablet, note,	http://www.trismegistos.org/text/20156
102126	ταβέλλα	A	I	1	a	writing tablet, note,	http://www.trismegistos.org/text/8927
102127	ταβελλάριος	A	I	1	a	tabellarius	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102127	ταβελλάριος	A	I	1	a	tabellarius	Perseus:abo:pap,P.Cair.Preis.:11:10
102128	ταβελλίων	A	I	1	a	tabellio,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102128	ταβελλίων	A	I	1	a	tabellio,	Perseus:abo:pap,P.Cair.Masp.:121:30
102129	ταβερνοδύτης	A	I	1	a	ganeo, sabinario,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102130	τάβλα	A	I	1	a	tabula	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102130	τάβλα	A	I	1	a	tabula	Perseus:abo:pap,BGU:780:15
102130	τάβλα	A	I	1	a	tabula	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102130	τάβλα	A	I	1	a	tabula	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102130	τάβλα	A	I	1	a	tabula	urn:cts:greekLit:tlg4024.tlg001:767
102130	τάβλα	A	I	1	a	tabula	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102130	τάβλα	A	I	1	a	tabula	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:4514
102131	ταβλάριος	A	I	1	a	tabularius	Perseus:abo:pap,PSI:3:281:39
102131	ταβλάριος	A	I	1	a	tabularius	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102132	ταβλίζω	A	I	1	a	play at dice	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102132	ταβλίζω	A	I	1	a	play at dice	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102132	ταβλίζω	A	I	1	a	play at dice	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102132	ταβλίζω	A	I	1	a	play at dice	urn:cts:greekLit:tlg3136.tlg001:p.212
102133	ταβλίον	A	I	1	a	tray	Perseus:abo:pap,P.Fay.:104:4
102133	ταβλίον	A	I	1	a	tray	Perseus:abo:pap,P.Lond.:1:191:14
102133	ταβλίον	A	I	1	a	tray	Perseus:abo:pap,P.Lond.:3:964:10
102133	ταβλίον	A	II	1	a	shell	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102133	ταβλίον	A	III	1	a	latus clavus	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102134	ταβλιόπη	A	I	1	a	a game at dice,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102134	ταβλιόπη	A	I	1	a	a game at dice,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102136	ταβλιστής	A	I	1	a	dice-player,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102140	ταβλωτός	A	I	1	a	boarded	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:348
102140	ταβλωτός	A	I	1	a	boarded	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:385
102141	ταγά	A	I	1	a	time during which a	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:55
102142	ταγαῖος	A	I	1	a	acting by command	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102143	ταγαρίζα	A	I	1	a	supplies	urn:cts:greekLit:tlg4085.tlg001:5
102143	ταγαρίζα	A	I	1	a	supplies	Perseus:abo:pap,P.Oxy.:1158:12
102145	ταγγή	A	I	1	a	rancidity	urn:cts:greekLit:tlg0732.tlg002:2:70
102145	ταγγή	A	II	1	a	scrofulous tumour	urn:cts:greekLit:tlg0627.tlg006.perseus-grc1:2:1:7
102147	ταγγίζω	A	I	1	a	to be	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102147	ταγγίζω	A	I	1	a	to be	urn:cts:greekLit:tlg0718.tlg008:2
102147	ταγγίζω	A	I	1	a	to be	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102149	ταγεία	A	I	1	a	office	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:6:4:34
102152	ταγεύω	A	I	1	a	to be	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:6:1:19
102152	ταγεύω	A	I	1	a	to be	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:6:1:8
102152	ταγεύω	A	I	2	a	to be chief of a phratria,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:323
102152	ταγεύω	A	I	2	a	to be chief of a phratria,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:1
102152	ταγεύω	A	I	2	a	to be chief of a phratria,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:31
102152	ταγεύω	A	I	2	a	to be chief of a phratria,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:33
102152	ταγεύω	A	I	3	a	to be magistrate	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102152	ταγεύω	A	I	3	a	to be magistrate	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102152	ταγεύω	A	II	1	a	let	urn:cts:greekLit:tlg0085.tlg004.perseus-grc1:58
102153	ταγέω	A	I	1	a	to be ruler	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:764
102154	ταγή	A	I	1	a	line of battle, front	urn:cts:greekLit:tlg0019.tlg007.perseus-grc1:105
102154	ταγή	A	I	2	a	command, province	urn:cts:greekLit:tlg0086.tlg029:1345b:25
102154	ταγή	A	I	3	a	command, order,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102154	ταγή	A	I	4	a	pension, alimony,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102154	ταγή	A	I	5	a	ration,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102154	ταγή	A	I	5	a	ration,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102154	ταγή	A	I	5	a	ration,	Perseus:abo:pap,SB:6796:54
102154	ταγή	A	I	5	a	ration,	Perseus:abo:pap,BGU:1118:16
102154	ταγή	A	I	5	a	ration,	Perseus:abo:pap,P.Oxy.:1139:3
102154	ταγή	A	I	5	a	ration,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102154	ταγή	A	I	5	a	ration,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:97
102154	ταγή	A	I	6	a	stipulated amount to be delivered	http://www.trismegistos.org/text/78720
102154	ταγή	A	I	6	a	stipulated amount to be delivered	Perseus:abo:pap,P.Flor.:119:6
102154	ταγή	A	I	6	a	stipulated amount to be delivered	Perseus:abo:pap,SB:7441:7
102154	ταγή	A	I	7	a	penalty, fine	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102157	ταγηνίας	A	I	1	a	pancake	urn:cts:greekLit:tlg0474.tlg001:1
102157	ταγηνίας	A	I	1	a	pancake	urn:cts:greekLit:tlg0434.tlg001:125
102157	ταγηνίας	A	I	1	a	pancake	urn:cts:greekLit:tlg0475.tlg001:6
102157	ταγηνίας	A	I	1	a	pancake	urn:cts:greekLit:tlg0483.tlg001:15
102158	ταγηνίζω	A	I	1	a	fry, broil	urn:cts:greekLit:tlg0461.tlg001:351
102158	ταγηνίζω	A	I	1	a	fry, broil	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102158	ταγηνίζω	A	I	1	a	fry, broil	urn:cts:greekLit:tlg0018.tlg001:2:250
102158	ταγηνίζω	A	I	1	a	fry, broil	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102159	ταγήνισις	A	I	1	a	frying	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:787
102159	ταγήνισις	A	I	1	a	frying	urn:cts:greekLit:tlg0732.tlg008:196:11
102160	ταγηνισταί	A	I	1	a	the Broilers	urn:cts:greekLit:tlg0019.tlg005.perseus-grc1:
102161	ταγηνιστός	A	I	1	a	fried	urn:cts:greekLit:tlg0402.tlg001:50
102161	ταγηνιστός	A	I	1	a	fried	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102161	ταγηνιστός	A	I	1	a	fried	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:706
102163	ταγηνοκνισοθήρας	A	I	1	a	frying-pan-sniffer	urn:cts:greekLit:tlg0461.tlg001:172
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0461.tlg001:346
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0019.tlg002.perseus-grc1:929
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0006.tlg010.perseus-grc1:
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0405.tlg001:33:4
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0062.tlg015:38
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0486.tlg001:104
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0486.tlg001:127
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0461.tlg001:144
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0527.tlg003:2:5
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg2687.tlg001:p.236
