112910	χά	A	I	1	a	ha! ha!,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112911	χααναία	A	I	1	a	priest's robe,	urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:3:7:1
112915	χαβότια	A	I	1	a	honey-pots	Perseus:abo:pap,PSI:4:428:53
112919	χάζω	A	I	1	a	cause to retire;	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112919	χάζω	A	I	1	a	cause to retire;	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112919	χάζω	A	I	1	a	cause to retire;	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:334
112919	χάζω	A	I	1	a	cause to retire;	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:21:153
112919	χάζω	A	I	1	a	cause to retire;	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:170
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:574
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:440
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:4:535
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:12:407
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3:32
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:702
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:18:160
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0001.tlg001.perseus-grc1:3:1320
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112919	χάζω	B	I	1	a	give way, draw	urn:cts:greekLit:tlg2045.tlg001.perseus-grc1:48:618
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:12:172
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:504
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:426
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:539
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:13:193
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17:357
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16:122
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:13:153
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:16:736
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0006.tlg016.perseus-grc1:1116
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0006.tlg002.perseus-grc1:326
112919	χάζω	B	I	2	a	draw back	urn:cts:greekLit:tlg0085.tlg007.perseus-grc1:389
112921	χάϊος	A	I	1	a	genuine, true, good,	urn:cts:greekLit:tlg0019.tlg007.perseus-grc1:91
112921	χάϊος	A	I	1	a	genuine, true, good,	urn:cts:greekLit:tlg0019.tlg007.perseus-grc1:1157
112921	χάϊος	A	I	1	a	genuine, true, good,	urn:cts:greekLit:tlg0216.tlg001:7
112921	χάϊος	A	I	1	a	genuine, true, good,	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:7:5
112922	χαῖος	A	I	1	a	shepherd's staff,	urn:cts:greekLit:tlg0001.tlg001.perseus-grc1:4:972
112922	χαῖος	A	I	1	a	shepherd's staff,	urn:cts:greekLit:tlg0533.tlg001:125
112926	χαιρετίζω	A	I	1	a	say	urn:cts:greekLit:tlg0527.tlg021:7:1
112926	χαιρετίζω	A	I	1	a	say	Perseus:abo:pap,P.Oxy.:1242ii35
112926	χαιρετίζω	A	I	1	a	say	urn:cts:greekLit:tlg0004.tlg001.perseus-grc1:3:98
112926	χαιρετίζω	A	I	1	a	say	urn:cts:greekLit:tlg2580.tlg002:4:158
112926	χαιρετίζω	A	I	1	a	say	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112927	χαιρέτισμα	A	I	1	a	greeting, salutation,	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:935
112928	χαιρετισμός	A	I	1	a	greeting, visit	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:32:15:8
112928	χαιρετισμός	A	I	1	a	greeting, visit	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112930	χαιρέφυλλον	A	I	1	a	chervil, Anthriscus Cerefolium,	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:10:110
112930	χαιρέφυλλον	A	I	1	a	chervil, Anthriscus Cerefolium,	urn:cts:latinLit:phi0978.phi001:19:170
112931	χαιρηδών	A	I	1	a	delectation,	urn:cts:greekLit:tlg0019.tlg001.perseus-grc1:4
112932	χαιρητικός	A	I	1	a	jovial, hilarious,	urn:cts:greekLit:tlg1764.tlg001:18:29
112933	χαιροσύνη	A	I	1	a	joy	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112933	χαιροσύνη	A	I	1	a	joy	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0013.tlg002.perseus-grc1:458
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:3:111
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:21:347
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:7:191
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24:491
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:22:411
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:13:609
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:6:481
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:8:78
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:647
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:4:260
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0011.tlg005.perseus-grc1:1300
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0019.tlg005.perseus-grc1:291
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0085.tlg008:266:3
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1:555
112934	χαίρω	A	I	1	a	rejoice, be glad,	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:1119
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:7:312
