Ep.	Epistulae
Fr.	Fragmenta
NA	De Natura Animalium
Tact.	Tactica
VH	Varia Historia
Ep.	Epistulae
Ag.	Agamemnon
Ch.	Choephori
Eleg.	Fragmenta Elegiaca,
Eu.	Eumenides
Fr.	Fragmenta,
Pers.	Persae
Pr.	Prometheus Vinctus
Supp.	Supplices
Th.	Septem contra Thebas
Prov.	Proverbia,
Fr.Hist.	Fragmenta Historica,
Febr.	de febribus
Verm.	epistula de vermibus
Adv.	de Adverbiis;
Conj.	de Conjunctionibus;
Pron.	de Pronominibus;
Synt.	de Syntaxi;
BC	Bella Civilia
Praef.	Praefatio
Fr.	Fragmenta
Or.	Orationes,
Ach.	Acharnenses
Av.	Aves
Ec.	Ecclesiazusae
Eq.	Equites
Fr.	Fragmenta
Lys.	Lysistrata
Nu.	Nubes
Pl.	Plutus
Ra.	Ranae
Th.	Thesmophoriazusae
V.	Vespae
APo.	Analytica Posteriora
APr.	Analytica Priora
Aud.	de Audibilibus
Cael.	de Caelo
Cat.	Categoriae
Col.	de Coloribus
de An.	de Anima
Div.Somn.	de Divinatione per Somnia
EE	Ethica Eudemia
EN	Ethica Nicomachea
Ep.	Epistulae, ed.
Fr.	Fragmenta,
GA	de Generatione Animalium
GC	de Generatione et Corruptione
HA	Historia Animalium
IA	de Incessu Animalium
Insomn.	de Insomniis
Int.	de Interpretatione
Juv.	de Juventute
LI	de Lineis Insecabilibus
Long.	de Longaevitate
MA	de Motu Animalium
MM	Magna Moralia
Mech.	Mechanica
Mem.	de Memoria
Metaph.	Metaphysica
Mete.	Meteorologica
Mir.	Mirabilia
Mu.	de Mundo
Oec.	Oeconomica
PA	de Partibus Animalium
Pepl.	Peplus (Fr.
Ph.	Physica
Phgn.	Physiognomonica
Po.	Poetica
Pol.	Politica
Pr.	Problemata
Resp.	de Respiratione
Rh.	Rhetorica
Rh.Al.	Rhetorica ad Alexandrum
SE	Sophistici Elenchi
Sens.	de Sensu
Somn.Vig.	de Somno et Vigilia
Spir.	de Spiritu
Top.	Topica
VV	de Virtutibus et Vitiis
Vent.	de Ventis
Xen.	de Xenophane
Ep.	Epistulae
Epigr.	Epigrammata
